dataset,data_table_name,field_name,display_name,description,data_type,is_required
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,record_date,Record Date,The date that data was published.,DATE,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,security_type,Security Type,The kind of marketable security that is being announced/auctioned. This is determined by the length to maturity.,STRING,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,security_term,Security Term,The term of the security.,STRING,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,reopening,Reopening,"When additional amounts of previously issued securities are issued again rather than selling new issues of those securities. The reopened securities have the same maturity date and interest rate; however, as compared to the original securities, the reopened securities have a different issue date (which creates a shorter overall term), and usually, a different purchase price.",STRING,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,cusip,CUSIP,"A unique nine-character combination assigned to the security being announced/auctioned. They are provided by the CUSIP (Committee on Uniform Securities Identification Procedures) Service Bureau, which is operated by Standard & Poors for the American Bankers Association.",STRING,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,offering_amt,Offering Amount,The dollar amount offered for purchase of the security being announced/auctioned.,CURRENCY0,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,announcemt_date,Announcement Date,"This is the date when notification the security being announced/auctioned is made to the public. This notification states the terms and conditions of the securities to be auctioned, including the auction date, offering amount, and auction format.",DATE,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,auction_date,Auction Date,This is the date on which the auction of the security being announced/auctioned is held.,DATE,1
Treasury Securities Upcoming Auctions Data,Treasury Securities Upcoming Auctions,issue_date,Issue Date,Date when security being announced/auctioned is delivered to the investor in exchange for payment,DATE,1
